prerequisite_code,course_code
CHMA12H3,CHMB23H3
MATA35H3,CHMB23H3
MATA36H3,CHMB23H3
MATA37H3,CHMB23H3
PHYA10H3,CHMB23H3
PHYA11H3,CHMB23H3
CHMA10H3,CHMB31H3
CHMA11H3,CHMB31H3
CHMA12H3,CHMB31H3
CHMA11H3,CHMB41H3
CHMA12H3,CHMB41H3
CHMA11H3,CHMB42H3
CHMA12H3,CHMB42H3
CHMB41H3,CHMB42H3
CHMA10H3,CHMB43Y3
CHMA11H3,CHMB43Y3
CHMA12H3,CHMB43Y3
CHMA10H3,CHMB55H3
CHMA11H3,CHMB55H3
CHMA12H3,CHMB55H3
CHMA10H3,CHMB62H3
CHMA11H3,CHMB62H3
CHMA12H3,CHMB62H3
CHMB41H3,CHMB62H3
CHMB16H3,CHMC11H3
CHMC11H3,CHMC16H3
CHMB23H3,CHMC20H3
CHMB21H3,CHMC20H3
MATB41H3,CHMC20H3
PHYA21H3,CHMC20H3
CHMB21H3,CHMC21H3
CHMB16H3,CHMC31Y3
CHMB20H3,CHMC31Y3
CHMB23H3,CHMC31Y3
CHMB31H3,CHMC31Y3
CHMB42H3,CHMC31Y3
CHMB41H3,CHMC42H3
CHMB42H3,CHMC42H3
CHMB41H3,CHMC47H3
CHMB42H3,CHMC47H3
CHMC47H3,CHMC71H3
CHMB16H3,CHMD11H3
CHMC11H3,CHMD11H3
CHMB55H3,CHMD16H3
CHMC11H3,CHMD16H3
CHMB41H3,CHMD41H3
CHMB42H3,CHMD41H3
BIOC12H3,CHMD47H3
BIOC13H3,CHMD47H3
CHMC47H3,CHMD47H3
BIOC12H3,CHMD69H3
BIOC13H3,CHMD69H3
CHMB62H3,CHMD69H3
CHMB31H3,CHMD69H3
CHMC42H3,CHMD89H3
CHMC47H3,CHMD89H3
CHMC42H3,CHMD92H3
CHMC31Y3,CHMD92H3
CITA01H3,CITB01H3
CITA02H3,CITB01H3
CITA01H3,CITB01H3
CITA02H3,CITB01H3
CITA01H3,CITB03H3
CITA02H3,CITB03H3
CITA01H3,CITB03H3
CITA02H3,CITB03H3
CITA01H3,CITB04H3
CITA02H3,CITB04H3
CITA01H3,CITB04H3
CITA02H3,CITB04H3
CITA01H3,CITB05H3
CITA02H3,CITB05H3
CITA01H3,CITB07H3
CITA02H3,CITB07H3
CITA01H3,CITB08H3
CITA02H3,CITB08H3
CITA01H3,CITB08H3
CITA02H3,CITB08H3
CITB04H3,CITC12H3
STAB22H3,CITC18H3
CITB05H3,CITC54H3
CLAA04H3,CLAC05H3
HISA07H3,CLAC05H3
CLAB05H3,CLAC05H3
HISB10H3,CLAC05H3
CLAB06H3,CLAC05H3
HISB11H3,CLAC05H3
CLAA04H3,CLAC68H3
HISA07H3,CLAC68H3
CLAB05H4,CLAC68H3
HISB10H3,CLAC68H3
CLAB06H3,CLAC68H3
HISB11H3,CLAC68H3
ANTA02H3,CLAC68H3
ANTB19H3,CLAC68H3
ANTB20H3,CLAC68H3
HISB02H3,CLAC68H3
AFSB50H3,CLAC68H3
HISB50H3,CLAC68H3
AFSB51H3,CLAC68H3
HISB51H3,CLAC68H3
HISB53H3,CLAC68H3
HISB57H3,CLAC68H3
HISB58H3,CLAC68H3
HISB60H3,CLAC68H3
HISB61H3,CLAC68H3
HISB62H3,CLAC68H3
